method,n_dams,violation_rate_mean,objective_mean,reliability_mean,vulnerability_mean,violation_rate_std,objective_std,reliability_std,vulnerability_std
StaticCalib-OpenLoop-DetMPC,3,0.03239051094890511,9202784.040805956,0.9676094890510948,0.14309630821240002,0.056102010646619654,8275704.560765939,0.05610201064661965,0.24785007619941243
RollingCalib-OpenLoop-DetMPC,3,0.03239051094890511,9206871.154065887,0.9676094890510948,0.1431770771613007,0.056102010646619654,8281240.399176884,0.05610201064661965,0.2479899721225823
RollingCalib-OpenLoop-ScenarioMPC,3,0.03239051094890511,9187907.59562394,0.9676094890510948,0.14284600307253995,0.056102010646619654,8257685.291734929,0.05610201064661965,0.2474165349797791
RollingCalib-ClosedLoop-ScenarioMPC-Feedback (ours),3,0.03223844282238443,9172853.955388302,0.9677615571776156,0.14325437940499938,0.05583862092527403,8238982.815722105,0.05583862092527401,0.24812386353620758
