method,n_dams,violation_rate_mean,objective_mean,reliability_mean,vulnerability_mean,violation_rate_std,objective_std,reliability_std,vulnerability_std
Full closed-loop method,3,0.03223844282238443,9172853.955388302,0.9677615571776156,0.14325437940499938,0.05583862092527403,8238982.815722105,0.05583862092527401,0.24812386353620758
w/o rolling calibration (static params),3,0.03223844282238443,9168755.647222772,0.9677615571776156,0.14316691234202347,0.05583862092527403,8233177.199014443,0.05583862092527401,0.2479723661391444
w/o implementation feedback (open loop),3,0.03239051094890511,9187907.59562394,0.9676094890510948,0.14284600307253995,0.056102010646619654,8257685.291734929,0.05610201064661965,0.2474165349797791
Deterministic dispatch (no scenarios),3,0.03239051094890511,9206871.154065887,0.9676094890510948,0.1431770771613007,0.056102010646619654,8281240.399176884,0.05610201064661965,0.2479899721225823
Point forecast only (no UQ),3,0.03239051094890511,9206867.99664436,0.9676094890510948,0.14317706044487508,0.056102010646619654,8281238.286277568,0.05610201064661965,0.24798994316888381
