method,n_dams,rmse_mean,mae_mean,nse_mean,crps_mean,coverage80_mean,rmse_std,mae_std,nse_std,crps_std,coverage80_std
Persistence,3,54.43891816211816,33.53115928201106,0.8361996449733574,34.866514488285745,0.9403999477192523,55.81937257464613,36.199614152419045,0.04437173063775549,40.41321346725759,0.03577096690140107
Climatology,3,102.80777681756666,65.681514816919,0.4730062220258648,92.66388587798802,0.978717378991853,110.69983539333172,73.46141461799434,0.08752867076727772,109.10024905823447,0.013214685061158266
AR(p) static,3,53.3273634698414,32.20416581839908,0.8483712208578416,31.110183103442115,0.9365006752929901,55.899139136465074,34.67249048090687,0.038597322672701016,35.21484580796235,0.026332318208546153
ML-LSTM,3,57.63331168770048,33.13921768907313,0.8335249593556737,28.886404326268178,0.9007101468217663,62.10482736132925,37.16048322898165,0.031149208452990358,31.934455558992262,0.01887571365857103
Rolling AR(p) (ours),3,53.398279812301354,32.07601439986665,0.8445486641027481,26.028701362225462,0.9150873524158062,55.44729691240615,34.649018226073025,0.043656096248735586,27.794483664217196,0.019983428168643957
